"short" "het" "long"
"298" "CFD07-333" "CFD12-022" "CFD12-061"
"299" "CFD07-334" "CFD12-033" "CFD12-064"
"300" "CFD07-335" "CFD12-034" "CFD12-065"
"301" "CFD07-342" "CFD12-035" "CFD12-066"
"302" "CFD11-002" "CFD12-038" "CFD12-067"
"303" "CFD11-004" "CFD12-041" "CFD12-068"
"304" "CFD11-005" "CFD12-047" "CFD12-069"
"305" "CFD11-006" "CFD12-048" "CFD12-070"
"306" "CFD11-009" "CFD12-049" "CFD12-072"
"307" "CFD11-021" "CFD12-050" "CFD12-075"
"308" "CFD11-026" "CFD12-051" "CFD12-080"
"309" "CFD11-030" "CFD12-052" "CFD12-082"
"310" "CFD11-044" "CFD12-054" "CFD12-083"
"311" "CFD11-045" "CFD12-058" "CFD12-084"
"312" "CFD11-047" "CFD12-060" "CFD12-085"
"313" "CFD11-051" "CFD12-061" "CFD12-087"
"314" "CFD11-053" "CFD12-064" "CFD12-089"
"315" "CFD11-054" "CFD12-067" "CFD12-091"
"316" "CFD11-058" "CFD12-068" "CFD12-092"
"317" "CFD11-060" "CFD12-069" "CFD12-093"
"318" "CFD11-064" "CFD12-070" "CFD12-094"
"319" "CFD11-066" "CFD12-072" "CFD12-098"
"320" "CFD11-067" "CFD12-075" "CFD12-099"
"321" "CFD11-068" "CFD12-080" "CFD12-100"
"322" "CFD11-069" "CFD12-082" "CFD12-301"
"323" "CFD11-303" "CFD12-083" "CFD12-302"
"324" "CFD11-304" "CFD12-084" "CFD12-303"
"325" "CFD11-305" "CFD12-087" "CFD12-304"
"326" "CFD11-308" "CFD12-089" "CFD12-305"
"327" "CFD11-310" "CFD12-091" "CFD12-306"
"328" "CFD11-313" "CFD12-092" "CFD12-307"
"329" "CFD11-314" "CFD12-093" "CFD12-308"
"330" "CFD11-315" "CFD12-098" "CFD12-309"
"331" "CFD11-316" "CFD12-099" "CFD12-310"
"332" "CFD11-317" "CFD12-100" "CFD12-311"
"333" "CFD11-318" "CFD12-302" "CFD12-312"
"334" "CFD11-319" "CFD12-303" "CFD12-313"
"335" "CFD11-320" "CFD12-304" "CFD12-314"
"336" "CFD11-321" "CFD12-305" "CFD12-315"
"337" "CFD11-322" "CFD12-306" "CFD12-316"
"338" "CFD11-323" "CFD12-307" "CFD12-317"
"339" "CFD11-324" "CFD12-308" "CFD12-318"
"340" "CFD11-325" "CFD12-311" "CFD12-319"
"341" "CFD11-326" "CFD12-313" "CFD12-320"
"342" "CFD11-327" "CFD12-314" "CFD12-321"
